result,datatype,encoding,compressor,csv_file_name,start_time_in_ms,end_time_in_ms,import_elapsed_time_in_ms,query_elapsed_time_in_ms,data_size_in_byte,compression_rate,tsfile_count
result,INT32,PLAIN,LZMA2,int-sg0-line5-100w0_0.csv,1689142483319.4924,1689142618817.041,18505.84,62170.37,336668,106.45556,7
result,INT32,PLAIN,LZMA2,int-sg0-line3-100w0_0.csv,1689142631902.2124,1689142764639.8115,16376.27,62189.05,202916,135.77101,7
result,INT32,RLE,UNCOMPRESSED,int-sg0-line5-100w0_0.csv,1689142777732.1135,1689142911859.4688,17820.13,62202.39,7863236,4.55795,7
result,INT32,RLE,UNCOMPRESSED,int-sg0-line3-100w0_0.csv,1689142924961.645,1689143056666.6707,15561.22,62129.83,4718730,5.83846,7
result,INT32,RLE,SNAPPY,int-sg0-line5-100w0_0.csv,1689143069763.5662,1689143203562.2036,17720.92,62123.39,854922,41.92216,7
result,INT32,RLE,SNAPPY,int-sg0-line3-100w0_0.csv,1689143216672.269,1689143345181.975,15733.38,59037.92,513723,53.62833,7
result,INT32,RLE,LZ4,int-sg0-line5-100w0_0.csv,1689143358270.2302,1689143493110.0312,18392.62,62242.1,581549,61.62879,7
result,INT32,RLE,LZ4,int-sg0-line3-100w0_0.csv,1689143506212.0427,1689143629409.0757,15589.03,53644.86,349643,78.79494,7
result,INT32,RLE,GZIP,int-sg0-line5-100w0_0.csv,1689143642500.8757,1689143777352.437,18259.95,62356.61,466349,76.85267,7
result,INT32,RLE,GZIP,int-sg0-line3-100w0_0.csv,1689143790461.6992,1689143914617.3264,15946.67,54395.04,280570,98.19332,7
result,INT32,RLE,ZSTD,int-sg0-line5-100w0_0.csv,1689143927735.9263,1689144063684.8765,18244.13,62059.58,374735,95.64136,7
