result,datatype,encoding,compressor,column,row,start_time/ms,end_time/ms,import_elapsed_time/s,query_elapsed_time/s,data_size/b,compression_rate,tsfile_count
result,BOOLEAN,PLAIN,LZMA2,1,100w,1682602203771,1682602241237,11.574,22.972,50549,404.75659,11
result,BOOLEAN,PLAIN,LZMA2,1,1000w,1682602267350,1682602578895,88.995,218.38,506438,403.9982,115
result,BOOLEAN,PLAIN,LZMA2,3,10w,1682602605013,1682602619296,3.117,7.749,14501,216.95835,1
result,BOOLEAN,PLAIN,LZMA2,3,100w,1682602645398,1682602726994,13.927,64.36,145959,215.54075,11
result,BOOLEAN,PLAIN,LZMA2,3,1000w,1682602753101,1682603442225,114.211,570.177,1459614,215.53651,115
result,BOOLEAN,PLAIN,LZMA2,5,10w,1682603468336,1682603486893,3.617,10.456,24041,176.58105,1
result,BOOLEAN,PLAIN,LZMA2,5,100w,1682603514796,1682603636876,16.23,102.383,241907,175.48142,11
result,BOOLEAN,PLAIN,LZMA2,5,1000w,1682603663012,1682604796094,135.929,990.458,2419364,175.45941,115
result,BOOLEAN,RLE,UNCOMPRESSED,1,10w,1682604822206,1682604831285,2.814,3.578,33438,61.18913,1
result,BOOLEAN,RLE,UNCOMPRESSED,1,100w,1682604857402,1682604897036,11.254,25.472,334769,61.1169,11
result,BOOLEAN,RLE,UNCOMPRESSED,1,1000w,1682604923139,1682605257950,87.159,243.562,3348836,61.09587,115
result,BOOLEAN,RLE,UNCOMPRESSED,3,10w,1682605284072,1682605298123,3.18,8.322,98668,31.88588,1
result,BOOLEAN,RLE,UNCOMPRESSED,3,100w,1682605324244,1682605406926,13.737,66.124,981285,32.06012,11
result,BOOLEAN,RLE,UNCOMPRESSED,3,1000w,1682605433033,1682606249700,114.155,697.908,9767174,32.20994,115
result,BOOLEAN,RLE,UNCOMPRESSED,5,10w,1682606275812,1682606294860,3.36,12.965,162780,26.07931,1
result,BOOLEAN,RLE,UNCOMPRESSED,5,100w,1682606320973,1682606448246,16.005,108.666,1622661,26.16085,11
result,BOOLEAN,RLE,UNCOMPRESSED,5,1000w,1682606474371,1682607643202,133.961,1029.907,16180580,26.23517,115
result,BOOLEAN,RLE,SNAPPY,1,10w,1682607669310,1682607678370,2.939,3.277,7189,284.60801,1
result,BOOLEAN,RLE,SNAPPY,1,100w,1682607704486,1682607741340,11.426,22.644,72560,281.97419,11
result,BOOLEAN,RLE,SNAPPY,1,1000w,1682607767452,1682608071243,87.788,211.948,727783,281.12782,115
result,BOOLEAN,RLE,SNAPPY,3,10w,1682608097358,1682608110651,3.19,7.425,22198,141.73038,1
result,BOOLEAN,RLE,SNAPPY,3,100w,1682608136757,1682608215682,13.976,62.054,229436,137.11942,11
result,BOOLEAN,RLE,SNAPPY,3,1000w,1682608241801,1682608924120,120.015,556.698,2344517,134.18548,115
result,BOOLEAN,RLE,SNAPPY,5,10w,1682608950234,1682608966545,3.291,10.268,38327,110.76304,1
result,BOOLEAN,RLE,SNAPPY,5,100w,1682608992662,1682609103284,15.73,91.997,391425,108.45044,11
result,BOOLEAN,RLE,SNAPPY,5,1000w,1682609129396,1682610243739,134.824,974.39,3966171,107.03024,115
result,BOOLEAN,RLE,LZ4,1,10w,1682610269860,1682610278912,2.83,3.38,6683,306.15607,1
result,BOOLEAN,RLE,LZ4,1,100w,1682610305049,1682610340448,11.289,21.311,67632,302.52012,11
result,BOOLEAN,RLE,LZ4,1,1000w,1682610366564,1682610663098,86.489,205.931,679079,301.29048,115
result,BOOLEAN,RLE,LZ4,3,10w,1682610689212,1682610701932,3.09,6.831,21302,147.69097,1
result,BOOLEAN,RLE,LZ4,3,100w,1682610728062,1682610801900,13.617,57.321,224175,140.33729,11
result,BOOLEAN,RLE,LZ4,3,1000w,1682610828020,1682611463749,110.735,520.341,2318292,135.7034,115
result,BOOLEAN,RLE,LZ4,5,10w,1682611489858,1682611505525,3.426,9.446,37622,112.83783,1
result,BOOLEAN,RLE,LZ4,5,100w,1682611531649,1682611640372,15.703,90.082,388481,109.27223,11
result,BOOLEAN,RLE,LZ4,5,1000w,1682611666483,1682612646397,137.807,836.365,3964332,107.07988,115
result,BOOLEAN,RLE,GZIP,1,10w,1682612672519,1682612681327,2.833,3.249,5350,382.43701,1
result,BOOLEAN,RLE,GZIP,1,100w,1682612707450,1682612743372,11.343,21.755,54074,378.37108,11
result,BOOLEAN,RLE,GZIP,1,1000w,1682612769485,1682613063478,84.497,205.416,543522,376.43377,115
result,BOOLEAN,RLE,GZIP,3,10w,1682613089615,1682613102664,3.13,7.176,16333,192.62254,1
result,BOOLEAN,RLE,GZIP,3,100w,1682613128828,1682613204118,13.651,58.767,168536,186.66697,11
result,BOOLEAN,RLE,GZIP,3,1000w,1682613230226,1682613921730,109.765,577.045,1719539,182.95607,115
result,BOOLEAN,RLE,GZIP,5,10w,1682613947846,1682613963879,3.273,10.025,28053,151.32677,1
result,BOOLEAN,RLE,GZIP,5,100w,1682613990002,1682614095098,15.884,86.227,286544,148.14538,11
result,BOOLEAN,RLE,GZIP,5,1000w,1682614121208,1682615107861,133.289,848.221,2900314,146.36352,115
result,BOOLEAN,RLE,ZSTD,1,10w,1682615133974,1682615143069,2.931,3.352,4025,508.33267,1
result,BOOLEAN,RLE,ZSTD,1,100w,1682615169202,1682615205057,11.155,21.707,40706,502.62956,11
result,BOOLEAN,RLE,ZSTD,1,1000w,1682615231174,1682615524667,85.214,204.185,408219,501.20166,115
result,BOOLEAN,RLE,ZSTD,3,10w,1682615550775,1682615563682,3.179,7.007,12325,255.26223,1
result,BOOLEAN,RLE,ZSTD,3,100w,1682615589809,1682615665386,13.551,59.074,128099,245.59214,11
result,BOOLEAN,RLE,ZSTD,3,1000w,1682615691504,1682616333054,111.631,525.276,1312568,239.6829,115
result,BOOLEAN,RLE,ZSTD,5,10w,1682616359186,1682616375466,3.364,10.018,21365,198.69764,1
result,BOOLEAN,RLE,ZSTD,5,100w,1682616401599,1682616516045,15.973,95.419,218888,193.9356,11
result,BOOLEAN,RLE,ZSTD,5,1000w,1682616542154,1682617517685,131.84,838.521,2220313,191.18934,115
result,BOOLEAN,RLE,LZMA2,1,10w,1682617543806,1682617552642,2.836,3.292,4832,423.43522,1
result,BOOLEAN,RLE,LZMA2,1,100w,1682617578749,1682617615003,11.61,21.724,48872,418.64542,11
result,BOOLEAN,RLE,LZMA2,1,1000w,1682617641119,1682617946372,88.125,213.053,489869,417.66276,115
result,BOOLEAN,RLE,LZMA2,3,10w,1682617972494,1682617986300,3.192,7.144,14476,217.33262,1
result,BOOLEAN,RLE,LZMA2,3,100w,1682618012405,1682618085418,14.299,55.401,148460,211.90965,11
result,BOOLEAN,RLE,LZMA2,3,1000w,1682618111536,1682618770364,112.979,540.89,1504987,209.03842,115
result,BOOLEAN,RLE,LZMA2,5,10w,1682618796473,1682618814334,3.388,10.08,24608,172.51199,1
result,BOOLEAN,RLE,LZMA2,5,100w,1682618840442,1682618956023,16.595,95.336,250240,169.63785,11
result,BOOLEAN,RLE,LZMA2,5,1000w,1682618982145,1682620070514,135.196,947.442,2522709,168.27156,115
result,INT32,PLAIN,UNCOMPRESSED,1,10w,1682620096631,1682620105905,2.802,3.654,214564,8.93924,1
result,INT32,PLAIN,UNCOMPRESSED,1,100w,1682620132003,1682620172292,11.296,26.184,2146056,8.93734,11
result,INT32,PLAIN,UNCOMPRESSED,1,1000w,1682620198405,1682620537839,86.38,248.613,21461532,8.93692,115
result,INT32,PLAIN,UNCOMPRESSED,3,10w,1682620563958,1682620578050,3.337,8.048,643165,4.28367,1
result,INT32,PLAIN,UNCOMPRESSED,3,100w,1682620604168,1682620688959,14.343,67.55,6432371,4.28304,11
result,INT32,PLAIN,UNCOMPRESSED,3,1000w,1682620715081,1682621493930,113.487,660.029,64323991,4.28301,115
result,INT32,PLAIN,UNCOMPRESSED,5,10w,1682621520044,1682621522429,0.425,0.694,4096,51.59155,0
