
result,mark,datatype,encoding,compressor,csv_file_name,start_time_in_ms,end_time_in_ms,import_elapsed_time_in_ms,query_elapsed_time_in_ms,data_size_in_byte,compression_rate,tsfile_count
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,SNAPPY,float-sg0-line1-10000w0_0.csv,1689179274012,1689180268017,762146.86,61820.39,29116433,84.76,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line3-1000w0_0.csv,1689180281229,1689180519409,108685.71,62579.83,3579056,122.63,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line3-10000w0_0.csv,1689180532559,1689181768647,998740.75,61921.6,35795737,122.61,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line5-10000w0_0.csv,1689181781859,1689183230748,1204742.37,61922.82,59460172,106.0,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line1-1000w0_0.csv,1689183243970,1689183450777,78520.79,62443.13,1212377,203.57,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line5-1000w0_0.csv,1689183463915,1689183711066,116876.36,62447.12,5945275,106.02,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZ4,float-sg0-line1-10000w0_0.csv,1689183724216,1689184670414,706837.22,61838.81,12126674,203.52,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line3-1000w0_0.csv,1689184683601,1689184914558,100122.18,62667.74,3359675,130.64,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line3-10000w0_0.csv,1689184927690,1689186089308,922092.04,61781.93,33596637,130.64,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line5-10000w0_0.csv,1689186102500,1689187471076,1113245.48,61656.59,55717479,113.12,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line1-1000w0_0.csv,1689187484301,1689187690562,76584.54,63449.57,1140361,216.42,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line5-1000w0_0.csv,1689187703655,1689187951167,118145.97,62669.95,5571906,113.12,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,GZIP,float-sg0-line1-10000w0_0.csv,1689187964292,1689188908479,706925.88,61753.48,11404386,216.41,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line3-1000w0_0.csv,1689188921648,1689189150471,98508.85,62232.1,2316600,189.46,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line3-10000w0_0.csv,1689189163611,1689190309446,900586.88,61827.76,23162299,189.49,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line5-10000w0_0.csv,1689190322622,1689191629162,1068331.1,61877.39,38323773,164.47,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line1-1000w0_0.csv,1689191642335,1689191844438,74688.74,62310.11,790507,312.2,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line5-1000w0_0.csv,1689191857539,1689192127373,139780.81,62953.46,3833148,164.43,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,ZSTD,float-sg0-line1-10000w0_0.csv,1689192140532,1689193125451,749665.75,61815.67,7904727,312.22,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line3-1000w0_0.csv,1689193138634,1689193370524,101884.24,62665.19,2702614,162.4,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line3-10000w0_0.csv,1689193383672,1689194613582,988488.46,61920.39,27022682,162.42,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line5-10000w0_0.csv,1689194626768,1689196077543,1210676.37,61843.07,44704620,140.99,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line1-1000w0_0.csv,1689196090766,1689196298194,79487.71,62468.03,917921,268.87,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line5-1000w0_0.csv,1689196311327,1689196579393,137742.32,62727.24,4470988,140.98,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,PLAIN,LZMA2,float-sg0-line1-10000w0_0.csv,1689196592527,1689197541584,716377.71,61582.12,9178915,268.88,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line3-1000w0_0.csv,1689197554778,1689197784795,100225.33,62585.24,73460902,5.97,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line3-10000w0_0.csv,1689197797937,1689198962653,922680.53,61895.77,734609999,5.97,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line5-10000w0_0.csv,1689198975962,1689200371760,1133608.36,61578.41,1224135182,5.15,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line1-1000w0_0.csv,1689200385099,1689200588876,76307.31,62218.85,24508664,10.07,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line5-1000w0_0.csv,1689200602013,1689200848642,116424.94,62706.58,122413485,5.15,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,UNCOMPRESSED,float-sg0-line1-10000w0_0.csv,1689200861817,1689201851661,754683.16,61857.19,245088287,10.07,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line3-1000w0_0.csv,1689201864919,1689202107162,111592.22,62712.54,6194292,70.86,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line3-10000w0_0.csv,1689202120313,1689203387773,1020945.77,61835.08,61943832,70.85,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line5-10000w0_0.csv,1689203400960,1689204876152,1212147.55,61976.14,103023610,61.18,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line1-1000w0_0.csv,1689204889339,1689205097989,78827.08,62412.75,2084107,118.42,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line5-1000w0_0.csv,1689205111118,1689205375407,131635.78,62657.27,10302281,61.18,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,SNAPPY,float-sg0-line1-10000w0_0.csv,1689205388541,1689206348321,714305.23,61700.43,20843005,118.41,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line3-1000w0_0.csv,1689206361501,1689206596652,105560.12,62208.83,3514011,124.9,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line3-10000w0_0.csv,1689206609772,1689207924358,1066607.6,61579.28,35146533,124.88,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line5-10000w0_0.csv,1689207937501,1689209430705,1246929.93,62164.85,58378547,107.97,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line1-1000w0_0.csv,1689209443945,1689209655669,82973.66,62244.89,1190888,207.24,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line5-1000w0_0.csv,1689209668818,1689209925780,125539.79,62756.69,5836898,107.99,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZ4,float-sg0-line1-10000w0_0.csv,1689209938912,1689210907198,729441.74,61809.65,11912202,207.18,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line3-1000w0_0.csv,1689210920371,1689211161470,111353.07,62404.95,2856170,153.67,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line3-10000w0_0.csv,1689211174621,1689212457809,1036863.68,61900.4,28570204,153.62,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line5-10000w0_0.csv,1689212471016,1689213904938,1185242.14,61913.62,47360255,133.09,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line1-1000w0_0.csv,1689213918194,1689214132652,84510.22,62377.71,973707,253.46,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line5-1000w0_0.csv,1689214145804,1689214409056,132150.65,62490.62,4734792,133.12,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,GZIP,float-sg0-line1-10000w0_0.csv,1689214422202,1689215416799,753924.97,61703.53,9740215,253.38,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line3-1000w0_0.csv,1689215429969,1689215661262,100891.28,62271.62,2140719,205.02,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line3-10000w0_0.csv,1689215674402,1689216836342,919180.1,61931.05,21405918,205.04,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line5-10000w0_0.csv,1689216849540,1689218196132,1085964.84,61993.17,35482927,177.63,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line1-1000w0_0.csv,1689218209325,1689218413063,74827.83,62426.75,733046,336.68,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line5-1000w0_0.csv,1689218426201,1689218675940,116183.54,63721.49,3548625,177.62,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,ZSTD,float-sg0-line1-10000w0_0.csv,1689218689082,1689219627781,698237.15,61786.19,7331224,336.64,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line3-1000w0_0.csv,1689219640964,1689219866719,95532.37,62564.21,2467600,177.87,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line3-10000w0_0.csv,1689219879865,1689221026161,903529.36,61798.78,24677939,177.85,1157
